No,Tanggal,BI-7 Day,Pranala Siaran Pers
1,22 Juni 2023,5.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2516523.aspx
2,25 Mei 2023,5.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2514023.aspx
3,18 April 2023,5.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2510223.aspx
4,16 Maret 2023,5.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_256523.aspx
5,16 Februari 2023,5.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_253823.aspx
6,19 Januari 2023,5.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_251323.aspx
7,22 Desember 2022,5.50 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2435022.aspx
8,17 November 2022,5.25 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2431322.aspx
9,20 Oktober 2022,4.75 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2428522.aspx
10,22 September 2022,4.25 %,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2425322.aspx
