Product,Price,Rating,Location,Sales
"Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD - WINDOWS GREY",Rp 2.249.000,4.9,,Terjual 1 rb+
"Laptop Soulmate ADVAN Celeron N4020 4GB/128GB (upgradable) 14"" HD - WINDOWS BLUE",Rp 2.349.000,,,Terjual 8
ADVAN Laptop Notebook Soulmate 14 inch RAM 4/256GB - DOS BLUE,Rp 2.699.000,4.9,,Terjual 100+
LAPTOP LENOVO THINKPAD X280 I5 GEN 8 RAM 16 SSD 512 MURAH BAGUS MULUS - 16gb 128gb,Rp 2.999.999,5.0,,Terjual 23
Lenovo Thinkpad T440p Intel Core i5-4300M 4th ORIGINAL BERGARANSI - RAM 4 HDD 500,Rp 1.800.000,5.0,,Terjual 5
Hp Zbook 15 g2 core i7 gen 4 Ram 8gb Ssd 256gb VGA 2gb - 8/256GB SSD,Rp 3.200.000,4.7,,Terjual 4
HP 14S FQ1032AU RYZEN 3 5300 8GB 512SSD VEGA6 W10+OHS 14.0FHD IPS BLIT,Rp6.599.000,,Jakarta Utara,
Acer Nitro 5 AN515-57 -52BQ GeForce RTX™ 3050 4G i5-11400H 8GB 512SSD,Rp12.699.000,,Jakarta Pusat,
Laptop Dell Latitude Core i5 / i7 Ram 8gb Ssd 256gb Murah Bergaransi,Rp2.850.000,5.0,Bandung,Terjual 9
"Asus ROG Ally Portable Gaming AMD Z1 Extreme 512GB SSD 7.0"" FHD 120Hz",Rp11.799.000,,Jakarta Pusat,Terjual 7
Lenovo Thinkpad X1 Carbon Core i7 Ram 8GB Ssd 256GB Slim FHD,Rp3.850.000,5.0,Jakarta Pusat,Terjual 3
Lenovo IdeaPad Slim3i 14ITL6 Core i3-1115G4 8GB 512SSD W11 OHS,Rp6.699.000,5.0,Jakarta Pusat,Terjual 750+
"LAPTOP ASUS VIVOBOOK A416JA I3-1005G1 4GB 512GB 14"" W10 KB BACKLIT OHS",Rp6.559.000,4.9,Jakarta Pusat,Terjual 500+
Notebook Lenovo D330 N4000 4GB 128GB FHD win10 2 in 1,Rp3.849.000,4.9,Jakarta Utara,Terjual 1 rb+
Lenovo Ideapad Gaming 3 Ryzen 5 5600 8GB 512SSD RTX3050 4GB 15.6FHD,Rp11.999.000,4.9,Dilayani Tokopedia,Terjual 500+
"ACER ASPIRE 3 A314-35 QUADCORE N5100 4GB 256GB INTEL UHD 14"" OHS W10",Rp4.799.000,5.0,Jakarta Pusat,Terjual 750+
HP 14s-fq0564AU Laptop/AMD Athlon 3150U/4GB/AMDRadeonGraphics/512GBSSD,Rp 5.459.000,4.9,,Terjual 50+
Laptop HP 14s-dq0510TU Celeron 4 & 8 GB 14s-dq3109TU HP14s-dq3111TU - 14s-dq3109TU,Rp 4.709.000,4.9,,Terjual 1 rb+
Laptop HP 15s-fq2705TU /Core i3/4 GB/Intel® UHD Graphics/SSD 512GB - 14s-dq2614TU,Rp 6.119.000,4.9,,Terjual 500+
Laptop Lenovo Thinkpad T460 T460s T470 T470s T480 T480s MURAH AMANAH,Rp2.550.000,4.9,Bandung,Terjual 80+
ULTRABOOK DELL LATITUDE 7400 i7-8665 TOUCH / 32GB RAM / SSD 512GB/ IPS,Rp5.250.000,5.0,Kab. Bogor,Terjual 9
Lenovo IdeaPad 5 Pro 16ARH7 Ryzen 7 6800HS Creat Ed 16GB 1TB RTX3050Ti - Strom Grey,Rp16.799.000,5.0,Jakarta Pusat,Terjual 30+
ULTRABOOK DELL LATITUDE 7300 i5-8365U /32GB RAM /512GB SSD /FHD IPS,Rp3.850.000,5.0,Kab. Bogor,Terjual 18
LENOVO S145 N4000 SSD 512GB 4GB,Rp3.250.000,,Jakarta Barat,
"ACER NITRO AN515-57 i5-11400H 8GB 512GB RTX3050 4GB 15.6"" FHD OHS W10",Rp12.879.000,5.0,Jakarta Pusat,Terjual 250+
Apple Macbook Pro 2020 M1 8GB 512GB SSD MYD92 MYDC2 Gray Silver Resmi - c8df,Rp21.560.000,4.9,Jakarta Pusat,Terjual 250+
"TERBARU Apple MacBook Air 2017 MQD32 13.3"" Core i5,8G,128SSD - Silver",Rp9.899.000,4.9,Jakarta Pusat,Terjual 250+
"Asus TUF FX506LH - GTX1650 i5 10300 16GB 512ssd 15.6""FHD 144Hz RGB OHS",Rp9.899.000,4.9,Jakarta Utara,Terjual 250+
"Asus TUF FX506LH - GTX1650 i5 10300 8GB 512ssd 15.6""FHD 144Hz RGB W10",Rp9.899.000,4.9,Jakarta Utara,Terjual 500+
"Apple Macbook Pro M1 14"" 2021 Resmi IBox - Space Gray, 8/14Core 16/512",Rp 26.899.000,5.0,,Terjual 100+
